trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'e': 0.07065121306042957, 'a': 0.43799999999999983}",25,7,34.624442462893114,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'e': 0.06890682839466256, 'a': 0.43599999999999983}",20,4,31.14931063635498,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'e': 0.06720551273974976, 'a': 0.43399999999999983}",20,10,18.53840501974141,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'e': 0.06554620271802433, 'a': 0.43199999999999983}",30,17,-16.517448954835174,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'e': 0.06392786120670757, 'a': 0.4299999999999998}",20,16,7.69361450434088,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'e': 0.0623494766896734, 'a': 0.4279999999999998}",30,19,17.328466895512268,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'e': 0.06081006262521795, 'a': 0.4259999999999998}",25,19,10.576777340036863,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'e': 0.05930865682943872, 'a': 0.4239999999999998}",20,3,30.73053295860133,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'e': 0.057844320874838456, 'a': 0.4219999999999998}",20,12,12.896183696952171,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'e': 0.05641613950377735, 'a': 0.4199999999999998}",25,11,27.517215641680377,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'e': 0.05502322005640721, 'a': 0.4179999999999998}",25,15,13.682667720283575,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'e': 0.05366469191273011, 'a': 0.4159999999999998}",25,16,16.77594267731915,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'e': 0.05233970594843238, 'a': 0.4139999999999998}",25,11,25.41280671464462,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'e': 0.051047434004154395, 'a': 0.4119999999999998}",25,13,22.139710742007374,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'e': 0.049787068367863944, 'a': 0.4099999999999998}",25,17,16.92994123970981,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'e': 0.048557821270009946, 'a': 0.4079999999999998}",25,11,-18.37815463417427,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'e': 0.04735892439114091, 'a': 0.4059999999999998}",30,18,21.052185154674486,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'e': 0.0461896283816801, 'a': 0.4039999999999998}",25,10,23.8455979753386,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'e': 0.0450492023935578, 'a': 0.4019999999999998}",30,22,15.390010227504291,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'e': 0.04393693362340742, 'a': 0.3999999999999998}",20,13,13.796028729309324,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'e': 0.042852126867040166, 'a': 0.3979999999999998}",25,11,22.38354517984901,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'e': 0.041794104084919896, 'a': 0.3959999999999998}",25,18,13.920758649764885,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'e': 0.04076220397836621, 'a': 0.3939999999999998}",20,13,13.73744103701316,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'e': 0.039755781576221304, 'a': 0.3919999999999998}",25,20,7.562341708907562,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'e': 0.03877420783172201, 'a': 0.3899999999999998}",35,0,46.60264725324444,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'e': 0.03781686922932507, 'a': 0.3879999999999998}",30,0,-54.06104680416815,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
132,False,"{'e': 0.036883167401239994, 'a': 0.3859999999999998}",20,4,25.488653675865674,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'e': 0.035972518753429654, 'a': 0.3839999999999998}",25,13,25.11146112608963,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'e': 0.035084354100845025, 'a': 0.3819999999999998}",30,0,45.92833478338207,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'e': 0.03421811831166603, 'a': 0.3799999999999998}",35,21,25.63307891596401,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'e': 0.033373269960326066, 'a': 0.3779999999999998}",20,15,8.329587724991276,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'e': 0.03254928098910342, 'a': 0.3759999999999998}",20,12,14.795446218419567,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'e': 0.03174563637806794, 'a': 0.3739999999999998}",35,5,49.426827622379285,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'e': 0.030961833823176882, 'a': 0.3719999999999998}",25,19,12.699251487964284,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
